Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",53.000000,-64.750000,90.000000,top
"C2","0.1uF","C_0603_1608Metric",46.500000,-82.000000,0.000000,top
"C3","0.1uF","C_0603_1608Metric",55.000000,-82.000000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",60.500000,-81.275000,90.000000,top
"C5","4.7uF","C_0603_1608Metric",64.250000,-62.745000,180.000000,top
"J1","GPIO","PinSocket_2x20_P2.54mm_Vertical",40.000000,-53.480000,0.000000,top
"J2","Conn_01x07","PinSocket_1x07_P2.54mm_Vertical",69.127839,-64.000000,0.000000,top
"J3","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",69.627839,-104.540000,180.000000,top
"R1","120","R_0603_1608Metric",62.750000,-78.500000,0.000000,top
"R2","10k","R_0603_1608Metric",44.250000,-71.000000,180.000000,top
"R3","4.7k","R_0603_1608Metric",50.755000,-82.500000,0.000000,top
"U1","MCP2518FDT-H/SL","SOIC14_150MIL_SL_MCH",50.000000,-76.500000,180.000000,top
"U2","ATA6563-GBQW1","VDFN8_3X3_GB-Q8B_MCH",58.327600,-78.025001,0.000000,top
"Y2","SG-210STF","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",50.500000,-64.500000,-90.000000,top
